slug,archivo,ruta_origen,activo,estrategia,magic,estado,score,r_mult,max_dd_pct,winrate,notas
APEXQUANT_V7.9.2-ASYMMETRIC-XAUUSD,APEXQUANT_V7.9.2-ASYMMETRIC-XAUUSD.mq5,APEXQUANT_V7.9.2-ASYMMETRIC-XAUUSD.mq5,XAUUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.2-ASYMMETRIC-XAUUSD                            |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.9.1-ASYMMETRIC-BTC (rama BTCUSD del linaje APEXQUANT)   |; ASSET TARGET: XAUUSD (retargeting + recalibracion con datos)     |; RE-ADAPTACION A XAUUSD (desde la rama BTC):                      |; - [XAU-1] Restaurado el cierre de fin de semana (Sabado        |; completo + Domingo antes de reapertura + tramo final del     |; Viernes) via IsMarketClosed(), ausente en la rama BTC 24/7.  |"
APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD,APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD.mq5,APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD.mq5,XAUUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.3-ASYMMETRIC-XAUUSD                            |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.9.1-ASYMMETRIC-BTC (rama BTCUSD del linaje APEXQUANT)   |; ASSET TARGET: XAUUSD (retargeting + recalibracion con datos)     |; RE-ADAPTACION A XAUUSD (desde la rama BTC):                      |; - [XAU-1] Restaurado el cierre de fin de semana (Sabado        |; completo + Domingo antes de reapertura + tramo final del     |; Viernes) via IsMarketClosed(), ausente en la rama BTC 24/7.  |"
APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD_1,APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD_1.mq5,APEXQUANT_V7.9.3-ASYMMETRIC-XAUUSD_1.mq5,XAUUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.3-ASYMMETRIC-XAUUSD                            |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.9.1-ASYMMETRIC-BTC (rama BTCUSD del linaje APEXQUANT)   |; ASSET TARGET: XAUUSD (retargeting + recalibracion con datos)     |; RE-ADAPTACION A XAUUSD (desde la rama BTC):                      |; - [XAU-1] Restaurado el cierre de fin de semana (Sabado        |; completo + Domingo antes de reapertura + tramo final del     |; Viernes) via IsMarketClosed(), ausente en la rama BTC 24/7.  |"
APEXQUANT_V7.9.3-XAUUSD-STAGE-PRECISION,APEXQUANT_V7.9.3-XAUUSD-STAGE-PRECISION.mq5,APEXQUANT_V7.9.3-XAUUSD-STAGE-PRECISION.mq5,XAUUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.3-XAUUSD-STAGE-PRECISION                       |; ""STAGE 2-4 DE PRECISION -- CIERRE RAPIDO, ANTI-MARGIN-CALL""     |; BASE: V7.9.3-ASYMMETRIC-XAUUSD (Stage1 = contraria de frenado,   |; identico, sin tocar -- ver esa version para el detalle completo  |; de la re-adaptacion BTC->XAUUSD).                                |; ESTA VARIANTE SOLO TOCA STAGE 2, 3 Y 4:                          |; - [PREC-1] CalcDirectionalLot() usa Inp_StageMoveATR (1.0x,    |; antes reciclaba el 0.5x del Recovery Engine fallback) ->     |"
APEXQUANT_V9.0-CAPITALGUARD-BTC,APEXQUANT_V9.0-CAPITALGUARD-BTC.mq5,APEXQUANT_V9.0-CAPITALGUARD-BTC.mq5,BTCUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V9.0-CAPITALGUARD-BTC                              |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; ASSET: BTCUSD (Crypto 24/7)                                    |; V9.0 FIXES heredados y adaptados a BTCUSD:                    |; [F-1] g_TFMult: M1=1.0 M5=2.24 M15=3.87 M30=5.48 H1=7.75   |; [F-2] CalcMaxSafeLot(): techo duro basado en margen libre.    |; [F-3] HardEquityCircuitBreaker(): cierra si DD > X%.          |; [F-4] BlockTP dinámico: MathMax(floor,|blockLoss|*RRRatio)    |"
Alpha_XAUUSD_Adaptive,Alpha_XAUUSD_Adaptive.mq5,Alpha_XAUUSD_Adaptive.mq5,XAUUSD,Adaptativo,882626,POR_REVISAR,0,,,,"Alpha_XAUUSD_Adaptive.mq5     |; Copyright 2026, Quant Algo Lab  |; https://www.quantalgolab.com |; version: 1.00"
ApexQuant_XAUUSD,ApexQuant XAUUSD.mq5,ApexQuant XAUUSD.mq5,XAUUSD,Mixta/Otra,,POR_REVISAR,0,,,,DIEGO SAENZ 24H - V7.3  (FIX DEADLOCK + RECOVERY TOTAL)   |; BUGS CORREGIDOS EN V7.3:                                       |; BUG #1 — DEADLOCK PRINCIPAL (por qué se queda sola):          |; Emergency mode activaba m_isPaused=true y OpenOrder bloqueaba  |; recovery. Posición sola → nunca se recuperaba → pérdida ∞      |; FIX: OpenOrder acepta forceEntry=true para recovery aunque     |; esté en pausa/emergencia. Recovery siempre puede abrir.        |; BUG #2 — EMERGENCY MODE NO LLAMABA RECOVERY:                  |
BTCUSD_Engulfingbull_V2,BTCUSD Engulfingbull  V2.mq5,BTCUSD Engulfingbull  V2.mq5,BTCUSD,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_BTCUSD_EA.mq5                                     |; Engulfing Bull — BTCUSD | Sesion 16-20 UTC | EA v2.0            |; Dashboard dual: Backtest (visual) / Live (autotrading)          |; version: 2.00
BTCUSD_NeurAlgo_M1_V2,BTCUSD NeurAlgo M1 V2.mq5,BTCUSD NeurAlgo M1 V2.mq5,BTCUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT V9.1-BTC-CAPITALGUARD                                |; ""DIRECTIONAL RECOVERY - ANTI-SYMMETRIC ENGINE""                 |; ASSET: BTCUSD (Crypto 24/7)                                    |; FUSION: V8.0-BTC-ADAPTIVE + V9.0-XAUUSD-CAPITALGUARD            |; FROM V9.0-CAPITALGUARD (adapted from XAUUSD crash RCA):         |; [V9-F1] g_TFMult: auto TF multiplier M1=1.0 M5=2.2 M15=3.9     |; [V9-F2] CalcMaxSafeLot(): hard cap on free margin usage          |; [V9-F3] HardEquityCircuitBreaker(): closes all if DD > X%        |"
BTCUSD_NeurAlgo_M1_V3,BTCUSD NeurAlgo M1 V3.mq5,BTCUSD NeurAlgo M1 V3.mq5,BTCUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT - V9.0-CAPITALGUARD-BTC                              |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; ASSET: BTCUSD (Crypto 24/7)                                    |; V9.0 FIXES heredados y adaptados a BTCUSD:                    |; [F-1] g_TFMult: M1=1.0 M5=2.24 M15=3.87 M30=5.48 H1=7.75   |; [F-2] CalcMaxSafeLot(): techo duro basado en margen libre.    |; [F-3] HardEquityCircuitBreaker(): cierra si DD > X%.          |; [F-4] BlockTP dinámico: MathMax(floor,|blockLoss|*RRRatio)    |"
BTCUSD_NeurAlgo_M1,BTCUSD NeurAlgo M1.mq5,BTCUSD NeurAlgo M1.mq5,BTCUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.1-ASYMMETRIC-BTC                              |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.8-DYNAMIC                                               |; ASSET TARGET: BTCUSD (Crypto 24/7 Adaptation)                    |; ADAPTACIONES CRITICAS PARA BITCOIN:                              |; - [BTC-1] Mercado 24/7 habilitado. Removido el bloqueo de      |; fines de semana (Sabado/Domingo) en las sesiones.            |; - [BTC-2] Tolerancia de Spread escalada de 35 a 2500 puntos    |"
BTCUSD_NeurAlgo_V911_DM,BTCUSD_NeurAlgo_V911_DM.mq5,BTCUSD_NeurAlgo_V911_DM.mq5,BTCUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT V9.1-BTC-CAPITALGUARD + DYNAMIC MANAGER             |; ""DIRECTIONAL RECOVERY - ANTI-SYMMETRIC ENGINE""                 |; ASSET: BTCUSD (Crypto 24/7)                                    |; FUSION: V8.0-BTC-ADAPTIVE + V9.0-CAPITALGUARD + DYNAMIC MANAGER |; [DM]  Dynamic Manager: TP + Trail + Breakeven en primaria        |; Si SL tocado -> NO pierde -> activa Recovery NeurAlgo      |; Con 1 posicion: cierra con TP                              |; Con 2+ posiciones: cierra en bloque positivo (NeurAlgo)    |"
BTCUSD_NeurAlgo_V911_DM_1,BTCUSD_NeurAlgo_V911_DM_1.mq5,BTCUSD_NeurAlgo_V911_DM_1.mq5,BTCUSD,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT V9.1-BTC-CAPITALGUARD + DYNAMIC MANAGER             |; ""DIRECTIONAL RECOVERY - ANTI-SYMMETRIC ENGINE""                 |; ASSET: BTCUSD (Crypto 24/7)                                    |; FUSION: V8.0-BTC-ADAPTIVE + V9.0-CAPITALGUARD + DYNAMIC MANAGER |; [DM]  Dynamic Manager: TP + Trail + Breakeven en primaria        |; Si SL tocado -> NO pierde -> activa Recovery NeurAlgo      |; Con 1 posicion: cierra con TP                              |; Con 2+ posiciones: cierra en bloque positivo (NeurAlgo)    |"
BTC_Scalper_EA,BTC_Scalper_EA.mq5,BTC_Scalper_EA.mq5,BTCUSD,Scalping,202401,POR_REVISAR,0,,,,BTC_Scalper_EA.mq5                      |; Scalping de Alta Frecuencia — BTCUSD M1             |; v1.1 — Fix: stops válidos para BTC (price units)        |; version: 1.10; PARÁMETROS EXTERNOS (INPUTS)                                    |; ── Indicadores ──────────────────────────────────────────────────
Breakout_SP500_v1.0,Breakout_SP500_v1.0.mq5,Breakout_SP500_v1.0.mq5,SP500,Breakout,20260712,POR_REVISAR,0,,,,"Breakout_SP500_v1.0.mq5   |; EA DE RUPTURA (BREAKOUT) PARA S&P 500 - TEMPORALIDAD D1         |; Broker objetivo: Exness (validar contract size / tick value)   |; LOGICA: identica a la validada en Python (backtest 70/30) y en |; el PineScript v6 entregado previamente:                        |; - Canal Donchian de N velas (excluyendo la vela en curso)    |; - Filtro de tendencia: SMA larga desfasada 1 vela             |; - Stop = ATR(simple, no Wilder) x multiplicador               |"
DCA_ATR_EA,DCA_ATR_EA.mq5,DCA_ATR_EA.mq5,VARIOS/ND,DCA_Martingala,990011,POR_REVISAR,0,,,,"DCA_ATR_EA.mq5 |; EA de Distribucion Asimetrica de Ordenes (DCA estructurado)   |; basado en volatilidad dinamica (ATR).                         |; Diseñado para cuenta Standard Cent - Exness (Real, 1:1000)     |; Compatible con XAUUSD, BTCUSD, EURUSD y otros simbolos, ya     |; que TODOS los calculos usan SYMBOL_TRADE_TICK_VALUE /          |; SYMBOL_TRADE_TICK_SIZE / SYMBOL_VOLUME_* leidos del broker en  |; tiempo real (el broker ya entrega TickValue en USC en cuentas  |"
Daily_Price_Action_EA,Daily_Price_Action_EA.mq5,Daily_Price_Action_EA.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,PriceActionDayTrader.mq5      |; Price Action Day Trading EA      |; version: 1.00; Input Parameters
Dynamic_Manager_V2,Dynamic Manager V2.mq5,Dynamic Manager V2.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,Pure_Fractal_Pure_v7.mq5     |; Asistente de Programación|; version: 7.00
Dynamic_Manager_V2,Dynamic Manager V2.mq5,Dynamic Manager V2\Dynamic Manager V2.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"Dynamic Manager V2.mq5 |; Copyright 2026, MetaQuotes Ltd. |; https://www.mql5.com |; Expert initialization function                                   |; Expert deinitialization function                                 |"
Dynamic_Manager_v3,Dynamic Manager v3.mq5,Dynamic Manager v3.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,Pure_Fractal_Pure_v7.mq5                |; Micro-Inertia Velocity Bias Engine                  |; Refactored from v6 — Experimental Prototype         |; version: 7.00; INPUT PARAMETERS
Dynamic_Manager,Dynamic Manager.mq5,Dynamic Manager.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,Pure_Fractal_Pure_v6.mq5     |; Asistente de Programación|; version: 6.00
EA_Regimen_Tendencia,EA_Regimen_Tendencia.mq5,EA_Regimen_Tendencia.mq5,VARIOS/ND,Regimen_Tendencia,20260731,POR_REVISAR,0,,,,EA_Regimen_Tendencia.mq5   |; Detector de regimen (ADX) + Tendencia (Donchian+EMA) +          |; Reversion a la media (Bollinger+RSI)                            |; Arquitectura completa del proyecto:                             |; ADX > InpADXTrendLevel  -> tendencia (Donchian + EMA200)        |; ADX < InpADXRangeLevel  -> reversion a la media (Bollinger+RSI) |; ADX entre ambos niveles -> sin operar (zona de whipsaw)         |; version: 1.10
EngulfingBull_BTCUSD_EA,EngulfingBull_BTCUSD_EA.mq5,EngulfingBull_BTCUSD_EA.mq5,BTCUSD,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_BTCUSD_EA.mq5                                     |; Engulfing Bull — BTCUSD | Sesion 16-20 UTC | EA v2.0            |; Dashboard dual: Backtest (visual) / Live (autotrading)          |; version: 2.00
EngulfingBull_NY_EA,EngulfingBull_NY_EA.mq5,EngulfingBull_NY_EA.mq5,VARIOS/ND,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_NY_EA.mq5                                        |; Engulfing Bull NY Session — EA Visual + AutoTrade v2.0         |; Compatible: Demo · Real · Probador de Estrategias (MT5)        |; Estrategia: Engulfing Alcista · Sesión NY · SL/TP basados ATR  |; version: 2.00; ENTRADAS
EngulfingBull_NY_EA_v3,EngulfingBull_NY_EA_v3.mq5,EngulfingBull_NY_EA_v3.mq5,VARIOS/ND,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_NY_EA.mq5 |; Engulfing Bull NY Session — EA v3.1 (Fixed)    |; Concurrent Trades + Spatial Dispersion Filter        |; Compatible: Demo · Real · Probador de Estrategias (MT5)           |; version: 3.10; ENTRADAS PARAMÉTRICAS
EngulfingBull_XAUUSD_EA,EngulfingBull_XAUUSD_EA.mq5,EngulfingBull_XAUUSD_EA.mq5,XAUUSD,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_XAUUSD_EA.mq5                                     |; Engulfing Bull — XAUUSD | Sesion NY 13-17 UTC | EA v2.0         |; Dashboard dual: Backtest (visual) / Live (autotrading)          |; version: 2.00
Engulfingbull_btcusd,Engulfingbull btcusd.mq5,Engulfingbull btcusd.mq5,BTCUSD,Engulfing,,POR_REVISAR,0,,,,EngulfingBull_NY_EA.mq5                                        |; Engulfing Bull NY Session — EA Visual + AutoTrade v2.0         |; Compatible: Demo · Real · Probador de Estrategias (MT5)        |; Estrategia: Engulfing Alcista · Sesión NY · SL/TP basados ATR  |; version: 2.00; ENTRADAS
Fractal_Regime_v7,Fractal_Regime_v7.mq5,Fractal_Regime_v7.mq5,VARIOS/ND,Regimen_Tendencia,,POR_REVISAR,0,,,,Fractal_Regime_v7.mq5                   |; Trend-Following & Regime-Change Detection System        |; Refactored from Pure_Fractal_Pure_v6 (pseudo-random)      |; ENTRY ARCHITECTURE: Multi-Layer Regime Classification (MLRCS)  |; Layer 1 | ADX Gate        : Regime energy threshold           |; Layer 2 | EMA Alignment   : Hierarchical directional vector   |; Layer 3 | DMI Conviction  : Directional spread confirmation   |; Layer 4 | RSI Quality     : Momentum health / exhaustion      |
Futuro_GPT,Futuro GPT.mq5,Futuro GPT.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"MarketStructureEA |; Professional Market Structure Analyzer      |; XAUUSD M5 - Visual Analytical Tool            |; Version : 1.00                                                  |; Platform: MetaTrader 5                                          |; Author  : ChatGPT                                               |; Este EA NO abre operaciones.                                    |; Su única finalidad es analizar estructura del mercado,          |"
Futuro_Gemini,Futuro Gemini.mq5,Futuro Gemini.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.2-ASYMMETRIC-XAUUSD                            |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.9.1-ASYMMETRIC-BTC (rama BTCUSD del linaje APEXQUANT)   |; ASSET TARGET: XAUUSD (retargeting + recalibracion con datos)     |; RE-ADAPTACION A XAUUSD (desde la rama BTC):                      |; - [XAU-1] Restaurado el cierre de fin de semana (Sabado        |; completo + Domingo antes de reapertura + tramo final del     |; Viernes) via IsMarketClosed(), ausente en la rama BTC 24/7.  |"
LiquidityHunt_EA,LiquidityHunt_EA.mq5,LiquidityHunt_EA.mq5,VARIOS/ND,Liquidez,20260805,POR_REVISAR,0,,,,"LiquidityHunt_EA.mq5     |; Estrategia de Caza de Liquidez y Fallo de Estructura      |; Copyright 2026, Alejandro     |; version: 1.00; PARAMETROS DE ENTRADA                                             |"
XAUUSD_LiquidityScalper_EA,XAUUSD_LiquidityScalper_EA.mq5,LiquidityScalper\XAUUSD_LiquidityScalper_EA.mq5,XAUUSD,Scalping,20260803,POR_REVISAR,0,,,,"XAUUSD_LiquidityScalper_EA.mq5    |; Liquidity Scalper - EA multi-timeframe basado en liquidez       |; institucional, estructura de mercado (BOS/CHoCH), Order Blocks  |; y Fair Value Gaps, para XAUUSD intradia/scalping.                |; Arquitectura:                                                    |; H4  -> sesgo direccional macro                                  |; H1  -> mapa de zonas (Order Blocks / Fair Value Gaps)           |; M15 -> ejecucion: swings, pools de liquidez, barridos, BOS/CHoCH|"
MACross_MT5_v107,MACross_MT5_v107.mq5,MACross_MT5_v107.mq5,VARIOS/ND,Cruce_MA,,POR_REVISAR,0,,,,
NeurAlgo_Adaptive_PA,NeurAlgo_Adaptive_PA.mq5,NeurAlgo_Adaptive_PA.mq5,VARIOS/ND,Adaptativo,88261025,POR_REVISAR,0,,,,NeurAlgo_Adaptive_PA.mq5   |; Grado Institucional Quant-SRE   |; https://www.mql5.com |; version: 1.00; Inclusion de la libreria estandar de ejecucion; ENUMS DEL SISTEMA                                                |
NeurAlgo_BTCUSD_90USD_v1,NeurAlgo_BTCUSD_90USD_v1.mq5,NeurAlgo_BTCUSD_90USD_v1.mq5,BTCUSD,Mixta/Otra,,POR_REVISAR,0,,,,NeurAlgo_BTCUSD_90USD_v1.mq5 |; NeurAlgo_AI Quantitative Team|; Soporte: Alejandro Saenz     |; version: 9.00
New,New.mq5,New.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,ApexQuant.mq5 |; Version 26.0 - CRYPTO READY     |; Lógica: Rompimiento M1 + Ajuste Margen  |; version: 26.00
Pure_Fractal_FVG_Fusion_BTCUSD_r30,Pure_Fractal_FVG_Fusion_BTCUSD_r30.mq5,Pure_Fractal_FVG_Fusion_BTCUSD_r30.mq5,BTCUSD,FVG,30,POR_REVISAR,0,,,,"Pure_Fractal_FVG_Fusion_BTCUSD_v12.0.mq5              |; v12.0 — ADAPTACION COMPLETA PARA BTCUSD M1                      |; Base: v11.0 (auditoria profunda, XAUUSD M15).                   |; ADAPTACION A BTCUSD (estudio de 99.520 velas M1, 04-mar a       |; 13-may-2026, +69 dias, rango 64.895-82.827):                    |; A1) FVG: el gap minimo (InpMinGapATR) ahora se calcula con el   |; ATR del timeframe FVG (no el ATR M1 del grafico). Con el    |; ATR M1 (~66 USD) el umbral anterior era irrisorio           |"
